Team,Age,MP,Starts,Min,90s,Gls,Ast,PK,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP
Arsenal,25.0,38,418,3420.0,38.0,86.0,62.0,10.0,64.0,2.0,76.1,68.5,55.3,821.0,2106.0
Aston-Villa,26.9,38,418,3420.0,38.0,72.0,55.0,4.0,94.0,2.0,63.3,60.3,48.6,775.0,1451.0
Bournemouth,25.7,38,418,3420.0,38.0,52.0,39.0,2.0,79.0,3.0,55.9,53.6,40.5,709.0,1314.0
Brentford,26.6,38,418,3420.0,38.0,54.0,38.0,3.0,89.0,2.0,58.2,56.0,42.7,505.0,1283.0
Brighton-and-Hove-Albion,25.9,38,418,3420.0,38.0,50.0,36.0,5.0,90.0,3.0,56.8,52.2,41.6,864.0,1780.0
Burnley,24.5,38,418,3420.0,38.0,40.0,30.0,3.0,77.0,7.0,40.6,38.3,29.7,727.0,1181.0
Chelsea,24.2,38,418,3420.0,38.0,76.0,51.0,11.0,109.0,4.0,74.5,65.1,51.4,873.0,1615.0
Crystal-Palace,26.7,38,418,3420.0,38.0,56.0,43.0,4.0,73.0,2.0,48.6,45.4,38.7,506.0,1176.0
Everton,27.1,38,418,3420.0,38.0,40.0,17.0,2.0,82.0,1.0,54.0,51.6,38.1,495.0,1129.0
Fulham,28.4,38,418,3420.0,38.0,54.0,40.0,2.0,84.0,4.0,50.8,49.2,37.6,670.0,1467.0
Liverpool,26.3,38,418,3420.0,38.0,80.0,60.0,6.0,69.0,5.0,87.8,80.4,63.7,924.0,2110.0
Luton-Town,26.7,38,418,3420.0,38.0,49.0,33.0,5.0,71.0,0.0,42.4,38.6,29.5,675.0,1113.0
Manchester-City,26.6,38,418,3420.0,38.0,94.0,69.0,9.0,53.0,2.0,80.5,72.9,60.2,1127.0,2060.0
Manchester-United,26.1,38,418,3420.0,38.0,57.0,36.0,6.0,83.0,1.0,56.5,51.0,40.1,758.0,1479.0
Newcastle-United,27.2,38,418,3420.0,38.0,83.0,55.0,8.0,79.0,1.0,76.0,69.0,51.3,737.0,1557.0
Nottingham-Forest,25.7,38,418,3420.0,38.0,49.0,43.0,1.0,82.0,3.0,49.9,49.1,37.9,601.0,1141.0
Sheffield-United,25.7,38,418,3420.0,38.0,31.0,18.0,5.0,101.0,5.0,38.3,34.5,25.8,346.0,884.0
Tottenham-Hotspur,25.2,38,418,3420.0,38.0,69.0,58.0,2.0,92.0,4.0,68.2,66.7,57.4,957.0,2107.0
West-Ham-United,28.3,38,418,3420.0,38.0,58.0,40.0,4.0,82.0,3.0,52.3,48.4,34.8,556.0,1207.0
Wolverhampton-Wanderers,26.6,38,418,3420.0,38.0,47.0,36.0,4.0,102.0,4.0,46.7,43.6,31.8,671.0,1180.0
